🕘️更新时间,#genre#
2025-11-03 18:25:30,https://jzb.wwkejishe.top/?id=578$订阅源

📺央视频道,#genre#
CCTV-1,https://jzb.wwkejishe.top/?id=578$订阅源
CCTV-3,https://jzb.wwkejishe.top/?id=580$订阅源
CCTV-4,https://smt.858.qzz.io/Smart.php?id=Cctv4$订阅源
CCTV-5,https://smt.858.qzz.io/Smart.php?id=cctv5$订阅源
CCTV-5,https://jzb.wwkejishe.top/?id=582$订阅源
CCTV-5+,https://jzb.wwkejishe.top/?id=583$订阅源
CCTV-6,https://smt.858.qzz.io/Smart.php?id=cctv6$订阅源
CCTV-6,https://jzb.wwkejishe.top/?id=584$订阅源
CCTV-8,https://jzb.wwkejishe.top/?id=586$订阅源
CCTV-9,https://jzb.wwkejishe.top/?id=587$订阅源
CCTV-10,https://jzb.wwkejishe.top/?id=588$订阅源
CCTV-11,https://jzb.wwkejishe.top/?id=589$订阅源
CCTV-12,https://smt.858.qzz.io/Smart.php?id=cctv12$订阅源
CCTV-12,https://jzb.wwkejishe.top/?id=590$订阅源
CCTV-13,https://event.pull.hebtv.com/jishi/cp1.m3u8$订阅源
CCTV-13,https://jzb.wwkejishe.top/?id=591$订阅源
CCTV-14,https://event.pull.hebtv.com/jishi/cp2.m3u8#rtsp://103.251.96.71/PLTV/88888888/224/3221225783/10000100000000060000000000726027_0.smil?icpid=SSPID&amp;accounttype=1&amp;limitflux=-1&amp;limitdur=-1&amp;accountinfo=:20240213104135$订阅源
CCTV-14,https://jzb.wwkejishe.top/?id=592$订阅源
CCTV-15,https://jzb.wwkejishe.top/?id=593$订阅源
CCTV-16,https://smt.858.qzz.io/Smart.php?id=cctv16$订阅源
CCTV-16,https://epg.pw/stream/c1beb2abcba5aef09c2f58efc3ca84b76de2c7b9cf60762b0d79772d9e70d454.m3u8$订阅源
CCTV-17,https://smt.858.qzz.io/Smart.php?id=cctv17$订阅源
CCTV-17,https://jzb.wwkejishe.top/?id=594$订阅源

📡卫视频道,#genre#
广东卫视,https://smt.858.qzz.io/Smart.php?id=guangdongweishi_twn$订阅源
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel01/1080p.m3u8$订阅源
浙江卫视,http://ali-vl.cztv.com/channels/lantian/channel001/360p.m3u8$订阅源
湖南卫视,http://api.kkitv.itv888.cn:8080/hls/hoxiunz7ce/index.m3u8$订阅源
湖南卫视,https://smt.858.qzz.io/Smart.php?id=hunan_twn$订阅源
北京卫视,http://api.kkitv.itv888.cn:8080/hls/h5uud1z84gn/index.m3u8$订阅源
北京卫视,https://smt.858.qzz.io/Smart.php?id=beijing$订阅源
北京卫视,https://jzb.wwkejishe.top/?id=608$订阅源
湖北卫视,http://api.kkitv.itv888.cn:8080/hls/qwummpaoaq/index.m3u8$订阅源
